country,total,density,paved_km,paved_km_2,unpaved_km,unpaved_km_2,controlled_access_km,controlled_access_km_2,source_year,iso3c,gdp_pc,pop,continent
Costa Rica,5035,10,0,0,5035,100,NA,NA,2017,CRI,12118.1334111458,4993842,Americas
Rwanda,4700,18,1207,26,3493,74,NA,NA,2012,RWA,705.759755829457,10840334,Africa
West Bank,4686,78,4686,100,0,0,NA,NA,2010,PSE,2557.07562356699,3786161,Asia
Guinea-Bissau,4400,12,453,10,3947,90,NA,NA,2018,GNB,781.644309083979,1924955,Africa
Suriname,4304,3,1119,26,3185,74,NA,NA,2003,SUR,2529.25942161,503780,Americas
Haiti,4266,15,768,18,3498,82,NA,NA,2009,HTI,1191.80415583743,9730638,Americas
Bahrain,4122,537,3392,82,730,18,NA,NA,2010,BHR,21186.8143292279,1213645,Asia
United Arab Emirates,4080,5,4080,100,0,0,253,6.2,2008,ARE,45140.7690772438,6988685,Asia
Guyana,3995,2,799,20,3196,80,NA,NA,2019,GUY,6477.29672607993,798753,Americas
Albania,3945,14,0,0,3945,100,NA,NA,2018,ALB,5287.66369446913,2866376,Europe
Eswatini,3769,22,0,0,3769,100,NA,NA,2019,SWZ,3843.3773913814,1169613,Africa
Singapore,3500,489,3500,100,0,0,164,4.7,2017,SGP,61150.7271966595,5612253,Asia
Fiji,3440,19,1686,49,1754,51,NA,NA,2011,FJI,4160.68402100408,908355,Oceania
Belize,3281,14,601,18,2680,82,NA,NA,2017,BLZ,6100.99468097883,374693,Americas
Gambia,2977,26,518,17,2459,83,NA,NA,2011,GMB,705.477974263661,1998212,Africa
Brunei,2976,52,2559,86,417,14,NA,NA,2014,BRN,41037.0726485073,416656,Asia
Djibouti,2893,12,0,0,2893,100,NA,NA,2013,DJI,2102.19794830208,971753,Africa
Equatorial Guinea,2880,10,0,0,2880,100,NA,NA,2017,GNQ,8410.39725012272,1450694,Africa
Luxembourg,2875,111,0,0,2875,100,NA,NA,2019,LUX,112621.821337404,620001,Europe
Bahamas,2700,19,1620,60,1080,40,NA,NA,2011,BHS,26644.9265775896,377950,Americas
French Polynesia,2590,65,1735,67,855,33,NA,NA,1999,PYF,15847.9322796659,246821,Oceania
Mauritius,2428,123,2379,98,49,2,99,4.1,2015,MUS,9509.93465545353,1262605,Africa
Malta,2254,713,1973,88,281,12,NA,NA,2001,MLT,11081.0080389931,393028,Europe
Hong Kong,2107,191,2107,100,0,0,NA,NA,2017,HKG,46160.429791493,7393200,Asia
Marshall Islands,2028,1120,75,4,1953,96,NA,NA,2007,MHL,2773.41870535549,54038,Oceania
Kosovo,2012,NA,1921,95,91,5,78,3.9,2015,NA,1540.85035410697,600008150,NA
Barbados,1700,395,1700,100,0,0,NA,NA,2015,BRB,16990.2194668498,278083,Americas
Dominica,1512,201,762,50,750,50,NA,NA,2018,DMA,7833.19501250117,70823,Americas
Solomon Islands,1390,5,34,2,1356,98,NA,NA,2011,SLB,1921.34604301498,553721,Oceania
Cape Verde,1350,33,932,69,418,31,NA,NA,2013,CPV,3427.17717233918,539940,Africa
