region_code,region_name,country_code,country_name,year,sex,age_group_code,age_group,number,percentage_of_causespecific_deaths_out_of_total_deaths,agestandardized_death_rate_per_100_000_standard_population,death_rate_per_100_000_population
CSA,Central and South America,ARG,Argentina,1966,All,Age_all,[All],520.0,0.33789711,2.39638521,2.31234436
CSA,Central and South America,ARG,Argentina,1967,All,Age_all,[All],542.0,0.2935426,2.48863884,2.37719298
CSA,Central and South America,ARG,Argentina,1968,All,Age_all,[All],785.0,0.36800383,3.36478635,3.39650398
CSA,Central and South America,ARG,Argentina,1969,All,Age_all,[All],748.0,0.33511794,3.17840038,3.1927608
CSA,Central and South America,ARG,Argentina,1970,All,Age_all,[All],757.0,0.34075461,3.33386463,3.18777109
CSA,Central and South America,ARG,Argentina,1977,All,Age_all,[All],605.0,0.25325782,2.39500149,2.24823486
CSA,Central and South America,ARG,Argentina,1978,All,Age_all,[All],562.0,0.24070378,2.18413303,2.05484461
CSA,Central and South America,ARG,Argentina,1979,All,Age_all,[All],548.0,0.23326494,2.11642261,1.97186139
CSA,Central and South America,ARG,Argentina,1980,All,Age_all,[All],485.0,0.20114049,1.86997682,1.73539673
CSA,Central and South America,ARG,Argentina,1981,All,Age_all,[All],472.0,0.19511872,1.80346372,1.67155384
CSA,Central and South America,ARG,Argentina,1982,All,Age_all,[All],464.0,0.19945151,1.69652145,1.59133
CSA,Central and South America,ARG,Argentina,1983,All,Age_all,[All],395.0,0.15746839,1.41195485,1.33310834
CSA,Central and South America,ARG,Argentina,1984,All,Age_all,[All],386.0,0.15169855,1.35089239,1.28266049
CSA,Central and South America,ARG,Argentina,1985,All,Age_all,[All],386.0,0.16138406,1.3258209,1.2629237
CSA,Central and South America,ARG,Argentina,1986,All,Age_all,[All],369.0,0.15400732,1.27933579,1.20050363
CSA,Central and South America,ARG,Argentina,1987,All,Age_all,[All],325.0,0.13111818,1.10796868,1.04374077
CSA,Central and South America,ARG,Argentina,1988,All,Age_all,[All],330.0,0.13046108,1.10603785,1.04645632
CSA,Central and South America,ARG,Argentina,1989,All,Age_all,[All],346.0,0.13795028,1.14883725,1.08362042
CSA,Central and South America,ARG,Argentina,1990,All,Age_all,[All],353.0,0.1374632,1.16924135,1.09213539
CSA,Central and South America,ARG,Argentina,1991,All,Age_all,[All],334.0,0.13149813,1.09855492,1.01313435
CSA,Central and South America,ARG,Argentina,1992,All,Age_all,[All],328.0,0.12607965,1.00884863,0.98141887
CSA,Central and South America,ARG,Argentina,1993,All,Age_all,[All],309.0,0.1168675,0.92538735,0.91233602
CSA,Central and South America,ARG,Argentina,1994,All,Age_all,[All],265.0,0.10433769,0.8202559,0.77218277
CSA,Central and South America,ARG,Argentina,1995,All,Age_all,[All],290.0,0.10895252,0.88580429,0.83409073
CSA,Central and South America,ARG,Argentina,1996,All,Age_all,[All],317.0,0.11907624,0.95321008,0.90007212
CSA,Central and South America,ARG,Argentina,1997,All,Age_all,[All],265.0,0.09781846,0.76284073,0.74318314
CSA,Central and South America,ARG,Argentina,1998,All,Age_all,[All],260.0,0.09279749,0.77793832,0.72095137
CSA,Central and South America,ARG,Argentina,1999,All,Age_all,[All],287.0,0.09912172,0.84401007,0.78700821
CSA,Central and South America,ARG,Argentina,2000,All,Age_all,[All],245.0,0.08840042,0.71169565,0.6644827
CSA,Central and South America,ARG,Argentina,2001,All,Age_all,[All],309.0,0.10806425,0.88892842,0.82895934
CSA,Central and South America,ARG,Argentina,2002,All,Age_all,[All],356.0,0.12225695,0.99432066,0.94475445
CSA,Central and South America,ARG,Argentina,2003,All,Age_all,[All],321.0,0.10633717,0.89032095,0.84278805
CSA,Central and South America,ARG,Argentina,2004,All,Age_all,[All],313.0,0.10651367,0.85883426,0.81315657
CSA,Central and South America,ARG,Argentina,2005,All,Age_all,[All],290.0,0.09892175,0.78255734,0.74563678
CSA,Central and South America,ARG,Argentina,2006,All,Age_all,[All],341.0,0.11665578,0.90516268,0.86790801
CSA,Central and South America,ARG,Argentina,2007,All,Age_all,[All],332.0,0.10580931,0.865001,0.83660299
CSA,Central and South America,ARG,Argentina,2008,All,Age_all,[All],319.0,0.10644794,0.82127493,0.79590501
CSA,Central and South America,ARG,Argentina,2009,All,Age_all,[All],422.0,0.1397962,1.07430884,1.04241832
CSA,Central and South America,ARG,Argentina,2010,All,Age_all,[All],331.0,0.10464815,0.8309028,0.80937502
CSA,Central and South America,ARG,Argentina,2011,All,Age_all,[All],318.0,0.10040573,0.78946805,0.76959379
