branch_code,bic_code_swift,bank_name,bank_branch,bank_branch_address,city,bank_phone,bank_fax
178337,NEDSZAJJ,NEDBANK LIMITED,THREE RIVERS,"RIVERWALK CENTRE, NEDBANK SHOP 12, 7 NILE DRIVE THREE RIVERS, VEREENIGING",,"(011 ), 454-8040","(011 ), 454-8057"
195805,NEDSZAJJ,NEDBANK LIMITED,TIP VIRTUAL SALES,"FORUM 1, LEVEL 4, BRAAMPARK, 33 HOOFD STREET, BRAAMFONTEIN",,"(011), 667-9484","(011), 667-7010"
107709,NEDSZAJJ,NEDBANK LIMITED,TIP VIRTUAL SALES INV,"SHOP 85 HOWARD CENTRE, HOWARD DRIVE, PINELANDS",,"(021), 530-3000","(021), 530-3004"
104309,NEDSZAJJ,NEDBANK LIMITED,TOKAI,"SHOP G22 BLUE ROUTE MALL, TOKAI ROAD, TOKAI","CAPE TOWN, WESTERN CAPE","(021 ), 710-3320","(021 ), 710-3333"
101167,NEDSZAJJ,NEDBANK LIMITED,TONGA,"TONGA MALL CNR PROVINCIAL ROAD (D2940) & NATION, ROAD (D797) PORTION 3 OF FARM TONGA 475-JU, MPUMALANGA",MPUMALANGA,013 780-6030,013 780-6042
179605,NEDSZAJJ,NEDBANK LIMITED,TONGAAT,"SHOP 1A JOOSUB CENTRE, MAIN ROAD, TONGAAT",KWAZULU-NATAL,032 945-8150,032 945-8155
116105,NEDSZAJJ,NEDBANK LIMITED,TRADE COMMODITY FINANCE,"4TH FLOOR BLOCK E CORPORATE PLACE, 135 RIVONIA ROAD,",SANDTON,"(011), 295-3339","(011), 294-3339"
178005,NEDSZAJJ,NEDBANK LIMITED,TRADE FINANCE LOGOSTICS,"LAKEVIEW CAMPUS, 1ST FLOOR 16 CONSTANTIA, BOULVAR CONSTANTIA KLOOF, ROODEPOORT",JOHANNESBURG,011 534-6151,011 495-9636
194037,NEDSZAJJ,NEDBANK LIMITED,TRADE ROUTE MALL,"SHOP L32 TRADE ROUTE MALL, CNR NIRVANA DRIVE & K53, LENASIA",GAUTENG,"(011), 874-7960","(011), 874-7997"
176605,NEDSZAJJ,NEDBANK LIMITED,TREASURY DOMESTIC MARKET OPERA,"135 RIVONIA ROAD SANDOWN, SANDTON BLOCK F 5TH FLOOR 2196,",,"(011), 294-3558","(011), 295-3558"
143605,NEDSZAJJ,NEDBANK LIMITED,TSAKANE,"SHOP 56 TSAKANE MALL, CNR MODJADJI & MALANDELA STR, TSAKANE",GAUTENG,"(011), 738-0100","(011), 738-0111"
101268,NEDSZAJJ,NEDBANK LIMITED,TSAKANE MALL,"SHOP 16, TSAKANE MALL, MODJADJI, & MALANDELA STREETS, TSAKANE",GAUTENG,011 738-0600,011 738-0613
164645,NEDSZAJJ,NEDBANK LIMITED,TSHWANE CENTRAL,"200 PRETORUIS STREET PRETORIA, 2,",,012 313-5600,012 313-5634
100997,NEDSZAJJ,NEDBANK LIMITED,TUBATSE CROSSING,"TUBATSE CROSSING, SHOP L46. CNR R37 & R555, , BURGERSFORT",MPUMALANGA,013 231-0900,013 231-0906
103910,NEDSZAJJ,NEDBANK LIMITED,"TYGER VALLEY, BELVILLE","SHOP BL 146 TYGERVALLEY CENTRE, WILLIE VAN SCHOOR AVENUE, BELLVILLE",,"(021 ), 917-4960","(021 ), 917-4969/91"
118602,NEDSZAJJ,NEDBANK LIMITED,TYGERBERG WINELANDS,"PLATTEKLOOF OFFICE PARK BUILDING C, BLOULELIE STREET, PLATTEKLOOF",,"(021), 928-2000","(021), 928-2025"
141949,NEDSZAJJ,NEDBANK LIMITED,TZANEEN,"SHOP 8 TZANENG MALL, DANIE JOUBERT STREET, TZANEEN",LIMPOPO,"(015 ), 306-6970","(015 ), 306-6988"
