branch_name,address,city,branch_code
ALBERT STREET - DBN,ALBERT STREET DURBAN,,755026
BULWER,POLELA STORES MAIN ROAD,,753725
CENTRAL CARD BRANCH,UNIT 19,UMLAZI,757026
CORPORATE BRANCH,SITE V1317 UMLAZI,,757826
DEVELOPMENT C S C,,,759126
EMPANGENI,SHOP 4 32 TANNER ROAD,,751030
ESHOWE,4 ESHOWE PLAZA OSBORN ROAD,,752630
ESTCOURT,SHOP 19B MADADENI SHOPPING CENTRE,,753825
HARDING,SHOP 3B ITHALA CENTRE,,754826
HOWICK,15 HARVARD STREET,,753425
INGWAVUMA,MAIN ROAD INGWAVUMA,,751924
INKANDLA,SHOP NO 2,KWAZULU-NATAL,754024
ITHALA BERGVILLE,"ITHALA BERGVILLE, LOT 98/1",KWA-ZULU NATAL,756926
ITHALA DALTON,"SHOP NO.16 BASIL SHOPPING CENTRE,1 NOORDSBERG RD",KWA-ZULU NATAL,756226
ITHALA GARDINER STREET,SHOP 62A & B MUTUAL MALL,KWA-ZULU NATAL,754126
ITHALA GREYTOWN,SHOP 7,KWA-ZULU NATAL,756526
ITHALA HLUHLUWE,SHOP LOT NO.1287,KWA-ZULU NATAL,756726
ITHALA PHLANI VALLEY,"SHOP 17 PHILNI VALLEY, F1325 AND 868",KWA-ZULUNATAL,756826
ITHALA PINEWALK,SHOP NO. 8 PINEWALK CENTRE,KWA-ZULU NATAL,756626
ITHALA THE GALLARIA MALL,"SHOP F73, THE GALLARIA MALL",DURBAN - KZN,754226
ITHALA ZWELETHU,ZWELETHU BRANCH HAS MERGED WITH MEGACITY,DURBAN,755626
IXOPO,MAGARET STREET,IXOPO,754626
IZINGOLWENI,SHOP 12 IZINGOLWENI SHOPPING CENTRE,,755728
JOZINI,MAKHATINI SHOPPING CENTRE MAIN ROAD,,751824
KOKSTAD AGENCY,2 ROYLATS CENTRE,,758226
KWA MASHU,SHOP 2 KWA MASHU CITY SHOPPING CENTRE,,756126
LADYSMITH,118 MURCHISON STREET,,753025
LONGMARKET STREET (PMBG),149 LONGMARKET STREET PIETERMARITZBURG,,756325
MADADENI,SHOP 19B MADADENI SHOPPING CENTRE,,753524
MANDINI,SHOP 24 SUNDUMBILI,,751129
MANGUSI,HARRISONS STORE,,751424
MATATIELE AGENCY,96 NORTH STREET,,758126
MAXWELL STREET - EMPANGENI,SHOP 9 MAXWELL CENTRE,,752530
MBAZWANA,MBAZWANA SHOPPING CENTRE RESERVE 14,,752124
MEGA CITY,MEGA CITY,,756426
MKUZE,12 MKUZE PLAZA MAIN ROAD,,752324
MOORTON AGENCY,CHATSWORTH,,758026
MTUBATUBA,SHOP 3 MTUBA PLAZA,,751230
NDUMO,JACKSONS STORE NDUMO,,752024
NEW GERMANY,SHOP 3 BALBIC HOUSE CNR SHEPSTONE RD,,755226
NEWCASTLE,9 MUNBRO CENTRE 29 MURCHISON STREET,,753124
NONGOMA,SHOP 25 NONGOMA PLAZA,,751630
NQUTU,8 NTULI CENTRE MAIN ROAD,,753624
PINE TOWN,LANCET BUILDING 44 HILL STREET,,755126
PINETOWN OPERATIONS CENTRE,"13 CROMPTON STREET , PINETOWN",,757999
PONGOLA,KINGS CENTRE LOT 60,,752724
PORT SHEPSTONE,41 WOOLLEY STREET,,755828
RICHARDS BAY,SHOP 51 RICHARDS BAY TAXI CITY,,752430
SELGRO- PIETERMARITZBURG,SHOP B41 SELGRO CENTRE BOSHOFF STREET,PIETERMARITZBURG,755425
STANGER,44 STANGER MARKET PLAZA CATO STREET,,751529
TONGAAT,5 LAURA STREET TONGAAT,,751729
TUGELA FERRY,SHOP 23 TUGELA FERRY SHOPPING CENTRE,,753924
UMGENI ROAD,9 UMGENI CENTRE 261/277 UMGENI,,756026
UMLAZI,SHOP V2 UMLAZI SHOPPING CENTRE,,755526
UMZIMTO,LOT 337 MAIN ROAD,,754726
VRYHEID,30 VRYHEID PLAZA KERK STREET,,753324
ALBERT STREET - DBN,ALBERT STREET DURBAN,,755026
BULWER,POLELA STORES MAIN ROAD,,753725
CENTRAL CARD BRANCH,UNIT 19,UMLAZI,757026
CORPORATE BRANCH,SITE V1317 UMLAZI,,757826
DEVELOPMENT C S C,,,759126
EMPANGENI,SHOP 4 32 TANNER ROAD,,751030
ESHOWE,4 ESHOWE PLAZA OSBORN ROAD,,752630
ESTCOURT,SHOP 19B MADADENI SHOPPING CENTRE,,753825
HARDING,SHOP 3B ITHALA CENTRE,,754826
HOWICK,15 HARVARD STREET,,753425
INGWAVUMA,MAIN ROAD INGWAVUMA,,751924
INKANDLA,SHOP NO 2,KWAZULU-NATAL,754024
ITHALA BERGVILLE,"ITHALA BERGVILLE, LOT 98/1",KWA-ZULU NATAL,756926
ITHALA DALTON,"SHOP NO.16 BASIL SHOPPING CENTRE,1 NOORDSBERG RD",KWA-ZULU NATAL,756226
ITHALA GARDINER STREET,SHOP 62A & B MUTUAL MALL,KWA-ZULU NATAL,754126
ITHALA GREYTOWN,SHOP 7,KWA-ZULU NATAL,756526
ITHALA HLUHLUWE,SHOP LOT NO.1287,KWA-ZULU NATAL,756726
ITHALA PHLANI VALLEY,"SHOP 17 PHILNI VALLEY, F1325 AND 868",KWA-ZULUNATAL,756826
ITHALA PINEWALK,SHOP NO. 8 PINEWALK CENTRE,KWA-ZULU NATAL,756626
ITHALA THE GALLARIA MALL,"SHOP F73, THE GALLARIA MALL",DURBAN - KZN,754226
ITHALA ZWELETHU,ZWELETHU BRANCH HAS MERGED WITH MEGACITY,DURBAN,755626
IXOPO,MAGARET STREET,IXOPO,754626
IZINGOLWENI,SHOP 12 IZINGOLWENI SHOPPING CENTRE,,755728
JOZINI,MAKHATINI SHOPPING CENTRE MAIN ROAD,,751824
KOKSTAD AGENCY,2 ROYLATS CENTRE,,758226
KWA MASHU,SHOP 2 KWA MASHU CITY SHOPPING CENTRE,,756126
LADYSMITH,118 MURCHISON STREET,,753025
LONGMARKET STREET (PMBG),149 LONGMARKET STREET PIETERMARITZBURG,,756325
MADADENI,SHOP 19B MADADENI SHOPPING CENTRE,,753524
MANDINI,SHOP 24 SUNDUMBILI,,751129
MANGUSI,HARRISONS STORE,,751424
MATATIELE AGENCY,96 NORTH STREET,,758126
MAXWELL STREET - EMPANGENI,SHOP 9 MAXWELL CENTRE,,752530
MBAZWANA,MBAZWANA SHOPPING CENTRE RESERVE 14,,752124
MEGA CITY,MEGA CITY,,756426
MKUZE,12 MKUZE PLAZA MAIN ROAD,,752324
MOORTON AGENCY,CHATSWORTH,,758026
MTUBATUBA,SHOP 3 MTUBA PLAZA,,751230
NDUMO,JACKSONS STORE NDUMO,,752024
NEW GERMANY,SHOP 3 BALBIC HOUSE CNR SHEPSTONE RD,,755226
NEWCASTLE,9 MUNBRO CENTRE 29 MURCHISON STREET,,753124
NONGOMA,SHOP 25 NONGOMA PLAZA,,751630
NQUTU,8 NTULI CENTRE MAIN ROAD,,753624
PINE TOWN,LANCET BUILDING 44 HILL STREET,,755126
PINETOWN OPERATIONS CENTRE,"13 CROMPTON STREET , PINETOWN",,757999
PONGOLA,KINGS CENTRE LOT 60,,752724
PORT SHEPSTONE,41 WOOLLEY STREET,,755828
RICHARDS BAY,SHOP 51 RICHARDS BAY TAXI CITY,,752430
SELGRO- PIETERMARITZBURG,SHOP B41 SELGRO CENTRE BOSHOFF STREET,PIETERMARITZBURG,755425
STANGER,44 STANGER MARKET PLAZA CATO STREET,,751529
TONGAAT,5 LAURA STREET TONGAAT,,751729
TUGELA FERRY,SHOP 23 TUGELA FERRY SHOPPING CENTRE,,753924
UMGENI ROAD,9 UMGENI CENTRE 261/277 UMGENI,,756026
UMLAZI,SHOP V2 UMLAZI SHOPPING CENTRE,,755526
UMZIMTO,LOT 337 MAIN ROAD,,754726
VRYHEID,30 VRYHEID PLAZA KERK STREET,,753324
1 MAIN ROAD SOMERSET WEST,116 MAIN ROAD,,420118
13 LIFEGROW CENTRE AMANZIMTOTI,25 COMMERCIAL ROAD,,510627
134 CHURCH STR VRYHEID,134 HIGH STREET,,334524
134 HIGH ST VRYHEID 8041,UNITED BUILDING 134 HOOGSTRAAT,,630224
135 MUSGRAVE DURBAN,135 MUSGRAVE ROAD BEREA,,630326
14 LIFE GROW CENTRE AMANZIMTOT,25 COMMERCIAL ROAD,,330127
141 HIGH ST VRYHEID,187 CHURCH STREET,,511024
15 MAXWELL STREET,15 MAXWELL STREET,KWA ZULU NATAL,630590
150 MURCHISON ST LADYSMITH,150 MURCHISON ST.,,630225
160 JAN SMUTS AVENUE,T A BUILDING,,508005
16A CENTRAL AVE CONTACT CENT,16A CENTRAL AVENUE,GAUTENG,630764
187 CHURCH ST PIETERMARITZBURG,KERKSTRAAT 187,,334225
2 MAIN RD SOMERSET WEST 8133,116 MAIN RD SOMERSET-WES,,630112
22 VOORTREKKER ALBERTON,VOORTREKKERWEG 22,,334142
225 CHURCH ST PIETERMARITZBURG,225 CHURCH STREET,KWA-ZULU NATAL,630760
251 CHURCH ST PIETERMARITZBURG,UNITED BLDG 194 LONMARKET STREET,,501225
255 MURCHISON STREET LADYSMITH,MURCHISONSTRAAT 255,,334125
270 REPUBLIC ROAD,2ND FLOOR 270 REPUBLIC ROAD,,633305
31 MAXWELL ST. EMPANGENI,ALLIED BUILDING 31 MAXWELL STR,,420130
31 VOOTREKKER ST NEWCASTLE,VOORTREKKERSTRAAT 31,,507024
331 WEST STREET DURBAN,331 WEST STREET,KWAZULU NATAL,630761
36 MAXWELL ST EMPANGENI 8071,39 MAXWELL STREET,,630130
38 CROMPTON ST PINETOWN,CROMPTONSTRAAT 38,,334226
38 MAITLAND ST. RASC KIMBERLEY,38 MAITLAND STREET,FREE STATE,630925
38 MAITLAND ST. RASC KIMBERLEY,38 MAITLAND STREET,FREE STATE,630927
38 VOORTREKKER ST NEWCASTLE,31 VOORTREKKER STREET,,334324
385 SMITH STREET DURBAN,"UNITED BUILDING,291 SMITH STREET",,334426
3RD STREET SPRINGS,5TH AVENUE,,420242
437 SMITH STREET,437 SMITH STREET,,500426
46 AIKEN ST PORT SHEPSTONE,UNITED BLDG AIKEN ST,,630128
48 AIKEN ST. PORT SHEPSTONE,"ALLIED BUILDING , 48 AIKEN STR",,420028
4TH STREET SPRINGS 8043,5TH AVENUE SPRINGS,,630842
50 SCOTT ST NEWCASTLE,31 VOORTREKKER STREET,,420124
52 SCOTT ST. NEWCASTLE,31 VOORTREKKER STREET,,630124
5TH AVENUE SPRINGS,5TH AVENUE SPRINGS,,334842
63 VAN RIEBEECK EDENVALE,54 VAN RIEBEECK AVE,,334942
7 HEXAGON STREET,CATHCARTWEG 36,,504720
ABACUS LEGACY,15 ALLICE LANE,GAUTENG,630894
ABB MIDCORP PREM KZN,4 FROSTERLEY CRESCENT,KWA-ZULU NATAL,630471
ABB MIDCORP PREM KZN P/SECTOR,4 FROSTERLEY CRESCENT,KWAZULU NATAL,630472
ABCAP FINANCIAL INSTITUTION,15 ALICE LANE,GAUTENG,630316
ABCAP PCG CASH,15 ALLICE LANE,GAUTENG,630922
ABCORP CAPE B,WILLIE VAN SCHOOR DRIVE,WESTERN CAPE,630974
ABCORP CAPE C,WILLIE VAN SCHOOR DRIVE,WESTERN CAPE,630967
